Address,Latitude,Longitude
"339 S Mammoth Rd, Manchester, NH 03109",42.96363755379184,-71.42066349895921
"20 Sky View Cir, Hamden, CT 06514",41.38666446046061,-72.93020931130857
"118 Cottonwood Rd., Harwich, MA 02645",41.71420115472487,-70.07214868138826
"518 Kelley St, Manchester, NH 03102",42.99494963964953,-71.48990221872376
"1010 Essex Rd., Westbrook, CT 06498",41.31086647026917,-72.43542078120032
"77 Greenmont Ave, Dracut, MA 01826",42.67045653103282,-71.30868310500153
"153 Westcott Ave, Cranston, RI 02910",41.7866906017608,-71.44836344094557
"3063 Route 7A, Shaftsbury, VT 05262",42.97633771527602,-73.20730482126167
"936 Old Walpole Rd, Surry, NH 03431",43.00707382958687,-72.3477306681949
"20 Maplewood Dr, South Burlington, VT 05403",44.4712475056625,-73.16888867923461
"21 Longview Cir, Pelham, NH 03076",42.74769979802805,-71.3497550156676
"1915 W Macarthur Rd Lot 215, Wichita, KS 67217",37.622403974187776,-97.3624021708182
"3 Nob Way, Lowell, MA 01852",42.63661477826723,-71.28931929302338
"5 Floral St, Windham, NH 03087",42.81437310344261,-71.31578859310376
"60 Cannongate Iii, Nashua, NH 03063",42.78215336019769,-71.50058063440018
"106 Musquash Rd, Hudson, NH 03051",42.71309532350517,-71.39933234109229
"401 Wallace Rd, Goffstown, NH 03045",42.991351170103,-71.55878065325997
"67 Reservoir Rd, Lebanon, CT 06249",41.56021150002953,-72.23927766707449
"30 Pleasant St, Colebrook, NH 03576",44.89381349610656,-71.49349213047184
"66 Holman Hill Rd, Spofford, NH 03462",42.89557317963392,-72.42386833009131
"59 Waters Edge, Tiverton, RI 02878",41.64797537769401,-71.20656758672177
"195 Orchard St, cranston, RI 02910",41.77580495172538,-71.43192332472147
"591 Townsend Harbor Rd, Lunenburg, MA 01462",42.61812261380697,-71.69563594239904
"200 Mountain View Dr, Newport, VT 05855",44.93143360267669,-72.24064193585635
